20200301 183600;1.105890;1.106020;1.105720;1.105720;0
20200301 183700;1.105730;1.105730;1.105580;1.105580;0
20200301 183800;1.105580;1.105700;1.105580;1.105630;0
20200301 183900;1.105630;1.105680;1.105500;1.105500;0
20200301 184000;1.105490;1.105500;1.105380;1.105450;0
20200301 184100;1.105440;1.105510;1.105330;1.105330;0
20200301 184200;1.105320;1.105540;1.105280;1.105500;0
20200301 184300;1.105490;1.105550;1.105300;1.105320;0
20200301 184400;1.105310;1.105450;1.105280;1.105310;0
20200301 184500;1.105300;1.105300;1.105080;1.105150;0
20200301 184600;1.105170;1.105190;1.104980;1.104990;0
20200301 184700;1.104980;1.104980;1.104680;1.104950;0
20200301 184800;1.104950;1.105100;1.104950;1.105010;0
20200301 184900;1.105010;1.105250;1.105010;1.105150;0
20200301 185000;1.105140;1.105310;1.105120;1.105300;0
20200301 185100;1.105290;1.105300;1.105140;1.105160;0
20200301 185200;1.105170;1.105220;1.105140;1.105210;0
20200301 185300;1.105210;1.105280;1.105160;1.105180;0
20200301 185400;1.105180;1.105270;1.105140;1.105260;0
20200301 185500;1.105260;1.105260;1.105150;1.105170;0
20200301 185600;1.105210;1.105230;1.105120;1.105180;0
20200301 185700;1.105200;1.105240;1.105040;1.105070;0
20200301 185800;1.105070;1.105160;1.105010;1.105160;0
20200301 185900;1.105180;1.105270;1.105150;1.105150;0
20200301 190000;1.105160;1.105290;1.105010;1.105160;0
20200301 190100;1.105140;1.105170;1.104970;1.105000;0
20200301 190200;1.105000;1.105010;1.104830;1.104830;0
20200301 190300;1.104830;1.104890;1.104200;1.104350;0
20200301 190400;1.104370;1.104660;1.104340;1.104640;0
20200301 190500;1.104630;1.104630;1.104200;1.104260;0
20200301 190600;1.104270;1.104340;1.103980;1.104000;0
20200301 190700;1.104000;1.104170;1.103980;1.104100;0
20200301 190800;1.104110;1.104160;1.103940;1.104000;0
20200301 190900;1.103990;1.103990;1.103690;1.103690;0
20200301 191000;1.103670;1.103770;1.103620;1.103770;0
20200301 191100;1.103770;1.103860;1.103650;1.103860;0
20200301 191200;1.103870;1.104010;1.103850;1.103970;0
20200301 191300;1.104000;1.104070;1.104000;1.104060;0
20200301 191400;1.104070;1.104210;1.104010;1.104160;0
